"time","T","der(T)","T_out"
0,22,-0.007,15
1,21.99301439723475,-0.006971208910800161,15.02180548643459
2,21.98605756482445,-0.006942447006679485,15.04361055814496
3,21.97912945656177,-0.006913714656146976,15.0654148004148
4,21.97223006914183,-0.006885012270598301,15.08721779854353
5,21.96535928715041,-0.006856340149296123,15.10901913785428
6,21.95851713179312,-0.006827698728091408,15.13081840370171
7,21.95170361114995,-0.006799088429670046,15.1526151814799
8,21.94491872522091,-0.006770509668590625,15.17440905663028
9,21.93816210853501,-0.006741962493885536,15.19619961464947
10,21.93143387366665,-0.006713447432569461,15.21798644109719
11,21.92473408930998,-0.006684964967705879,15.2397691216041
12,21.918062755465,-0.006656515513585239,15.26154724187976
13,21.91141987213171,-0.006628099484411283,15.28332038772043
14,21.90480543931012,-0.00659971729429313,15.30508814501699
15,21.89821945700021,-0.006571369357237412,15.3268500997628
16,21.89166192520199,-0.006543056087140409,15.34860583806159
17,21.88513231395236,-0.006514777367817049,15.37035494613531
18,21.87863066657406,-0.00648653365624203,15.39209701033203
19,21.87215727469431,-0.006458325657560538,15.41383161713377
20,21.86571213831312,-0.00643015378514872,15.4355583531644
21,21.85929525743049,-0.00640201845223301,15.45727680519748
22,21.85290663204641,-0.006373920071882301,15.47898656016411
23,21.84654626216089,-0.006345859057000064,15.50068720516083
24,21.84021414777393,-0.006317835820316503,15.52237832745742
25,21.83390976035347,-0.006289850245848673,15.5440595145048
26,21.82763270770291,-0.006261902353760077,15.56573035394283
27,21.82138362191105,-0.006233993188302867,15.58739043360818
28,21.81516250297789,-0.006206123161435725,15.60903934154216
29,21.80896935090343,-0.006178292684904857,15.63067666599857
30,21.80280416568767,-0.006150502170236166,15.65230199545151
31,21.79666694733061,-0.006122752028727408,15.67391491860321
32,21.79055769583226,-0.006095042671440392,15.69551502439186
33,21.7844760959785,-0.006067374193979047,15.71710190199945
34,21.7784212273575,-0.00603974608649796,15.73867514085954
35,21.7723940044438,-0.006012159673778726,15.76023433066508
36,21.76639442723743,-0.005984615365861186,15.78177906137624
37,21.76042249573836,-0.005957113572510176,15.80330892322818
38,21.75447820994661,-0.005929654703207731,15.82482350673888
39,21.74856156986217,-0.005902239167145314,15.84632240271686
40,21.74267257548505,-0.005874867373216011,15.86780520226903
41,21.73681118941387,-0.005847539692605416,15.88927149680846
42,21.73097639404024,-0.005820255515978145,15.91072087806209
43,21.72516887066443,-0.005793015932585856,15.93215293807858
44,21.71938857881106,-0.00576582130957507,15.95356726923599
45,21.7136354780047,-0.005738672013755088,15.97496346424961
46,21.70790952776995,-0.005711568411590319,15.99634111617963
47,21.70221068763138,-0.005684510869192451,16.01769981843893
48,21.6965389171136,-0.005657499752312794,16.0390391648008
49,21.69089417574119,-0.005630535426334514,16.06035874940667
50,21.68527642303873,-0.005603618256264905,16.08165816677382
51,21.67968561853081,-0.00557674860672773,16.10293701180308
52,21.67412172174204,-0.005549926841955458,16.12419487978658
53,21.66858469219698,-0.005523153325781596,16.14543136641539
54,21.66307448942024,-0.005496428421632992,16.16664606778725
55,21.65759107293639,-0.005469752492522148,16.18783858041424
56,21.65213440227003,-0.005443125901039565,16.20900850123047
57,21.64670443694575,-0.005416549009346067,16.23015542759969
58,21.64130083905562,-0.005390021881732605,16.25127895732302
59,21.6359236347828,-0.005363544946136251,16.27237868864655
60,21.63057291771056,-0.005337118697441553,16.29345422026901
61,21.6252486410465,-0.00531074348969711,16.31450515134939
62,21.6199507579982,-0.005284419676483658,16.33553108151454
63,21.61467922177328,-0.005258147610906431,16.35653161086685
64,21.60943398557932,-0.005231927645587536,16.37750633999178
65,21.60421500262392,-0.005205760132658409,16.39845486996551
66,21.59902222611468,-0.005179645423752181,16.4193768023625
67,21.59385560925918,-0.005153583869996108,16.44027173926307
68,21.58871510526504,-0.005127575822004037,16.461139283261
69,21.58360066733984,-0.005101621629868805,16.48197903747104
70,21.57851224869118,-0.005075721643154712,16.50279060553647
71,21.57344980252665,-0.00504987621088997,16.52357359163668
72,21.56841328205386,-0.0050240856815592,16.54432760049466
73,21.56340264048039,-0.004998350403095881,16.56505223738451
74,21.55841762456279,-0.004972670516423808,16.58574710813898
75,21.55345775550016,-0.004947045936343226,16.60641181915694
76,21.54852347938939,-0.004921477501978515,16.62704597741087
77,21.54361474119372,-0.004895965550739358,16.64764919045436
78,21.53873148587641,-0.004870510419446866,16.66822106642955
79,21.53387365840074,-0.004845112444326169,16.68876121407457
80,21.52904120372994,-0.004819771960998924,16.70926924273102
81,21.52423406682729,-0.004794489304475931,16.72974476235136
82,21.51945219265604,-0.004769264809149664,16.75018738350638
83,21.51469552617944,-0.004744098808786915,16.77059671739253
84,21.50996401236078,-0.004718991636521377,16.7909723758394
85,21.50525759616327,-0.004693943624846238,16.81131397131703
86,21.5005762225502,-0.004668955105606856,16.83162111694335
87,21.49591983648483,-0.00464402640999338,16.85189342649145
88,21.49128838293041,-0.004619157868533385,16.87213051439703
89,21.4866818068502,-0.004594349811084566,16.89233199576564
90,21.48210005320746,-0.004569602566827416,16.91249748638005
91,21.47754278284677,-0.004544916180139211,16.93262660270756
